City,Lat,Long,Min_Temp,Max_Temp,Min_Rain,Max_Rain,Min_Humid,Max_Humid,Temp_Trend,Climate
Pheepolis,47,27,12,44,21,27,25,61,0,3
Uphotown,89,90,81,100,4,8,21,54,1,3
Uchunberg,3,69,14,29,22,25,5,74,0,0
Fuquawtown,20,37,33,54,15,20,8,81,1,1
Kishuhberg,77,35,71,87,15,33,10,85,1,3
Tighoppolis,8,81,45,59,8,18,7,74,1,1
Toaberg,22,57,82,88,6,27,6,40,1,0
Jeecab City,71,81,60,71,4,12,36,91,0,1
Tietown,75,29,51,59,15,35,49,76,0,0
Faippolis,26,27,80,89,2,13,29,46,0,0
Chusppolis,41,78,78,105,22,40,45,47,1,1
Ostuville,78,98,26,52,6,20,9,13,0,2
Machpolis,76,19,12,38,11,29,48,80,0,2
Queawville,63,65,83,91,30,39,38,97,0,2
Wonuhpolis,17,74,68,76,25,32,20,82,1,2
Loiphpolis,73,40,67,95,3,18,42,59,0,1
Diepolis,91,93,16,18,1,13,21,84,1,0
Buphutpolis,45,49,40,52,15,40,29,51,0,3
Yesmberg,83,13,65,87,13,37,52,99,0,3
Goiberg,18,82,21,48,17,25,14,24,0,3
Ledepville,16,26,10,32,27,33,16,27,0,1
Neaberg,50,12,9,23,26,38,22,83,0,4
Beaberg,45,71,56,64,20,37,8,43,0,0
Tohayville,53,10,80,83,23,41,52,93,1,2
Uchinberg,29,16,41,62,10,28,23,54,1,1
Jeewiyberg,62,85,62,82,14,37,22,31,1,0
Aqueville,89,86,6,23,19,42,55,92,1,2
Shospville,12,77,42,55,30,35,31,37,0,4
Asheberg,83,79,16,25,1,8,41,68,1,2
Moucberg,1,31,82,93,6,26,16,100,1,2
Daijeppolis,17,68,68,83,27,52,18,29,0,1
Kecuyberg,72,82,57,59,28,48,6,23,0,2
Sajihpolis,95,56,1,7,14,38,50,87,0,3
Thogh City,24,55,1,31,9,32,20,81,1,1
Nophulville,78,76,21,45,8,16,53,99,1,2
Ghiqutown,75,52,53,58,20,44,50,54,1,1
Distberg,79,65,60,84,23,44,4,54,0,3
Ismappolis,54,12,5,19,4,10,25,34,1,3
Choiberg,82,70,37,70,5,9,39,62,0,3
Wetulberg,88,62,85,91,29,43,25,61,1,1
Wookortown,30,59,37,55,22,32,33,68,1,4
Nosepberg,22,5,3,18,27,46,29,100,1,3
Luphberg,5,57,30,47,30,50,43,99,1,4
Dastofville,34,57,44,51,2,26,15,30,1,4
Mismijtown,90,64,41,67,25,47,5,26,0,2
Baidacpolis,17,26,41,67,28,38,31,35,1,0
Riew City,53,66,25,35,1,13,19,23,1,3
Mocoyville,8,27,34,46,3,9,38,62,0,0
Achiville,45,97,0,33,11,15,6,63,1,1
Pheetown,6,58,5,13,14,30,8,57,0,2
Othob City,45,67,51,79,6,24,34,53,0,3
Phaiville,11,73,57,73,18,42,19,52,0,2
Speep City,35,64,33,44,23,37,28,39,0,2
Roochville,93,12,27,36,29,45,51,90,1,2
Yeegberg,33,1,83,99,22,25,51,89,0,3
Heespberg,96,88,73,92,26,37,30,58,0,2
Shainpolis,62,70,81,85,4,13,51,98,0,0
Waishberg,66,57,33,55,27,31,40,68,0,1
Ghoampolis,34,53,57,77,27,50,2,91,1,3
Eghu City,41,83,71,80,11,29,6,95,0,4
Sheewtown,55,14,0,26,9,30,23,67,1,1
Souville,77,4,23,32,5,22,38,66,0,2
Doipolis,34,14,78,100,13,21,1,29,0,1
Geapolis,7,60,26,41,24,39,30,36,1,4
Jasptown,73,75,64,85,21,24,1,44,0,1
Estopolis,31,44,36,69,13,33,55,58,1,2
Choaw City,23,75,41,66,5,22,15,24,0,3
Japhpolis,86,98,22,55,12,25,0,84,0,2
Ughactown,12,64,19,23,16,21,33,51,1,4
Meeville,86,51,62,94,11,24,39,63,1,2
Beechpolis,94,47,55,65,10,19,7,83,0,4
Maipolis,29,55,25,29,14,31,9,59,0,4
Kaiwpolis,41,16,43,48,30,41,55,75,1,3
Iquelpolis,35,92,78,84,2,10,53,66,0,2
Jaqutown,80,31,6,28,19,37,34,74,0,1
Fuchowberg,56,26,41,73,19,27,3,22,1,3
Moamehtown,1,92,21,25,27,36,25,98,0,4
Ganejville,41,51,42,63,12,28,34,72,1,0
Desmus City,57,47,70,99,2,7,29,58,1,3
Riekberg,35,60,5,26,18,33,0,5,1,0
Sootown,6,6,24,34,20,40,42,49,1,1
Usmetown,60,58,6,20,29,49,47,97,1,2
Dotomville,90,33,56,66,29,53,28,40,0,1
Reshirtown,37,60,62,68,23,29,45,97,1,0
Keepukpolis,40,57,59,75,11,23,28,79,0,1
Bechberg,8,82,25,54,7,20,48,62,0,0
Kouftown,76,2,42,66,6,28,26,63,1,0
Thoitown,61,36,22,47,9,23,53,67,0,4
Ghuquberg,26,95,85,88,5,25,33,100,0,4
Aphutown,62,28,37,51,23,31,16,99,1,1
Ghoot City,19,62,26,44,23,42,28,41,1,0
Yoshtown,62,41,46,49,11,21,39,90,0,2
Ustacberg,68,85,17,50,6,19,54,97,0,0
Wushabberg,3,4,57,89,5,29,2,29,0,2
Seech City,2,24,70,91,15,37,10,33,0,2
Jushagtown,72,89,73,102,1,8,26,72,1,1
Yiebowberg,16,59,47,57,5,9,11,64,0,0
Pasm City,70,61,45,67,10,14,34,86,0,2
Ismopolis,76,57,2,28,4,11,12,97,1,0
Quainberg,74,98,51,67,20,31,12,75,1,3
Jaquowpolis,76,86,16,30,1,22,9,34,0,4
Smechberg,100,41,6,28,14,35,38,67,1,4
Liequpolis,23,96,63,65,15,20,14,20,0,4
Tuphtown,64,60,17,52,30,50,54,72,1,4
Stughpolis,19,99,56,66,28,45,46,95,1,3
Boiville,53,43,74,92,24,29,18,37,0,4
Kacuktown,61,44,22,31,24,30,6,27,0,1
Kashodberg,37,50,66,99,14,29,30,33,0,4
Sipirberg,5,49,63,66,9,29,50,95,1,2
Ustad City,15,29,11,40,17,24,42,78,1,4
Keaqu City,53,53,46,53,11,17,29,62,0,0
Niphberg,56,71,84,87,10,32,28,51,0,4
Oghip City,14,85,48,72,22,45,42,44,0,0
Espamtown,26,7,9,35,17,34,46,73,1,3
Yochil City,60,41,32,52,1,19,50,77,0,0
Ichumville,76,62,75,92,29,31,36,63,1,3
Kiepolis,53,78,25,38,26,34,53,65,0,3
Seach City,90,0,82,104,15,29,5,79,1,4
Shoodville,85,43,25,36,16,37,20,97,0,0
Steaktown,29,69,53,83,11,13,20,36,1,4
Ushoh City,79,10,71,93,19,34,37,91,0,1
Ishepolis,88,20,68,94,1,18,9,69,1,0
Mophijberg,85,35,75,81,15,18,36,82,0,1
Moajtown,39,64,41,55,3,18,36,71,1,1
Houberg,62,45,80,96,0,18,36,70,0,2
Othepolis,60,47,73,87,15,18,28,58,0,3
Giesmberg,29,30,43,64,20,30,0,48,0,4
Ceref City,51,86,29,39,17,22,19,66,1,4
Shachpolis,81,21,23,41,14,16,15,58,1,1
Waghtown,12,53,38,60,23,47,28,68,0,2
Ghie City,74,40,60,70,17,22,51,75,1,4
Nou City,67,93,18,30,20,24,48,56,1,3
Ispoberg,40,69,25,48,20,34,43,91,1,0
Uspotown,24,24,4,38,12,16,51,79,1,4
Liesp City,88,43,0,15,13,38,50,55,1,4
Roapolis,57,89,57,83,6,13,19,84,1,2
Weepolis,18,78,64,66,30,40,37,47,1,4
Bephugberg,14,30,65,84,22,39,19,38,1,4
Equaville,90,26,63,87,27,38,9,87,0,4
Oshe City,31,83,1,24,18,27,35,98,1,1
Foiwan City,93,39,29,58,5,22,2,58,1,0
Dulobpolis,28,89,70,94,13,33,46,75,1,1
Jouberg,73,54,74,99,27,38,6,20,1,1
Kuwokpolis,34,84,48,70,22,39,48,93,1,0
Ashimville,47,99,70,99,15,39,21,61,1,0
Ispotown,27,20,40,49,12,27,54,58,1,0
Uqueberg,49,99,37,67,8,13,11,43,0,3
Ghaipolis,87,35,48,62,18,36,53,67,0,2
Coi City,55,10,59,85,28,44,29,95,1,1
Quaitown,35,32,58,83,20,28,27,81,0,3
Goush City,16,25,78,98,1,4,10,19,1,2
Stoipolis,96,55,2,34,6,12,52,59,1,4
Ucheypolis,86,70,8,35,28,33,32,62,1,3
Quaphtown,89,64,21,56,16,29,25,92,0,1
Usmubville,23,34,62,88,8,23,2,63,0,2
Mushib City,70,57,1,28,23,30,8,87,1,0
Speatown,66,5,78,91,2,21,21,63,0,3
Esmospolis,66,51,33,38,29,45,11,86,1,0
Aphiville,24,0,8,22,15,25,40,54,1,1
Quoir City,58,61,55,67,4,16,17,91,0,4
Cethectown,69,40,47,57,25,41,34,64,0,1
Esmeltown,8,50,16,43,2,19,9,13,0,2
Ustitown,42,95,63,95,12,17,21,94,0,0
Koakudtown,50,80,53,81,30,35,6,93,1,2
Toichtown,77,15,83,90,10,21,31,99,1,0
Equutown,65,80,48,69,13,31,14,24,1,1
Peasmville,74,96,58,76,0,21,55,76,0,1
Ciewenville,10,57,68,93,20,26,12,35,0,1
Thoatown,73,10,69,72,27,48,19,90,0,4
Osmopolis,90,67,1,20,19,34,28,86,0,2
Quequtown,44,72,60,84,15,24,33,90,0,3
Neaphtown,77,73,26,57,10,31,20,29,1,3
Quoisville,68,91,35,39,23,45,49,100,0,1
Chouberg,54,45,65,67,3,17,1,96,1,4
Spoigtown,91,100,59,62,14,36,55,57,0,3
Iquowberg,47,80,64,99,1,3,31,56,1,1
Spasp City,53,84,16,50,25,41,51,97,1,3
Poorostown,80,27,36,57,19,42,37,53,0,2
Gietown,5,48,38,68,22,39,9,14,1,0
Aquuville,52,22,61,92,10,16,10,60,1,2
Estutown,82,54,69,77,13,25,11,87,0,0
Theaspolis,27,77,83,105,17,21,24,32,0,3
Speeberg,27,53,83,86,5,7,50,63,0,0
Seeville,59,19,58,83,15,28,21,32,1,2
Pheepolis,72,40,25,31,15,30,2,74,1,3
Nipum City,76,76,35,63,1,23,42,45,0,1
Jiesp City,38,94,67,85,10,17,41,84,0,4
Smathville,57,93,66,85,27,34,48,87,1,4
Soowpolis,89,89,22,39,25,48,49,75,0,3
Fienektown,73,32,76,81,10,28,26,50,0,2
Aquebtown,45,27,43,74,12,17,40,47,0,4
Hoir City,39,35,29,38,2,20,21,42,0,1
Istitown,63,54,43,49,2,19,35,99,0,4
Houpolis,79,20,32,57,20,40,4,34,1,2
Miyiy City,11,86,49,66,20,36,14,77,1,3
Miphtown,76,54,71,81,18,26,33,66,0,0
Ustoytown,30,7,12,43,9,21,27,29,0,0
Maithberg,100,30,72,93,7,11,47,59,0,3
Yoisidtown,5,61,41,70,4,29,21,41,1,4
Hoopolberg,6,74,59,90,30,33,36,63,1,0
Choidberg,92,13,49,71,1,14,33,87,1,4
Chiem City,62,69,29,41,16,30,0,28,1,2
Noaberg,50,56,68,102,29,36,6,34,1,4
Puthpolis,3,99,26,28,16,23,26,46,1,4
Ushe City,97,62,45,52,4,18,47,69,1,4
Ighajtown,71,80,51,59,29,54,36,49,1,2
Piequville,98,90,71,75,13,20,21,54,0,3
Soajimpolis,88,11,17,29,4,16,43,50,0,2
Speat City,63,93,64,73,16,34,21,96,1,2
Nouqu City,6,67,38,64,6,25,54,58,0,1
Koubihtown,96,64,46,51,10,33,48,62,0,0
Mowehville,41,63,18,34,9,25,5,39,1,0
Besh City,63,55,65,97,17,19,18,27,1,1
Yefubberg,38,93,14,23,27,35,32,43,1,1
Yeafuwpolis,62,35,37,43,5,12,3,18,0,2
Stooberg,16,24,48,77,13,34,39,76,0,4
Gochpolis,96,73,43,73,9,34,50,91,0,2
Phoorville,81,20,37,70,11,34,43,86,1,4
Geeville,77,92,53,68,22,42,36,98,1,0
Eghogpolis,34,82,27,46,8,22,38,95,0,4
Nichpolis,84,18,79,90,0,14,37,88,0,2
Hoaham City,67,91,30,39,1,13,39,100,1,3
Beeville,5,70,7,32,24,28,8,40,1,2
Wash City,62,42,28,41,4,22,48,88,0,4
Peshberg,95,98,28,33,23,46,53,80,0,1
Spoiville,50,79,0,4,8,26,35,66,0,0
Rophagtown,31,30,18,47,26,44,24,61,0,4
Ishogpolis,99,52,20,36,13,34,54,58,1,1
Keagpolis,39,46,49,70,30,35,19,56,1,2
Uchibberg,73,1,43,78,15,32,36,93,0,3
Niestown,59,94,37,70,1,25,13,48,1,1
Nieptown,43,79,22,25,24,26,20,75,0,3
Phiquberg,91,72,12,28,4,20,23,25,1,2
Lephiwville,92,44,53,67,11,14,52,97,1,4
Ustotown,2,70,10,43,8,14,41,58,1,3
Cheaberg,51,33,14,26,12,33,43,81,1,0
Jisptown,91,43,82,98,22,39,23,88,1,4
Spiquberg,7,45,49,66,10,32,34,62,0,2
Shoatown,26,62,14,49,0,7,12,83,1,2
Toaghberg,98,77,72,74,6,27,11,48,0,4
Weaville,32,60,15,43,30,52,45,57,1,1
Jooyville,53,18,83,103,21,44,54,66,0,1
Laifottown,6,37,22,57,4,14,8,11,1,2
Toiyville,75,57,50,67,21,31,34,52,0,0
Ceeberg,96,63,84,118,3,16,41,71,0,3
Chietown,33,75,64,72,27,51,24,50,0,4
Jaghewtown,84,88,66,94,9,28,9,41,0,2
Choaptown,79,14,26,51,7,17,0,47,1,1
Cishville,88,26,46,48,30,35,42,60,0,2
Spusmberg,82,18,1,36,0,14,53,68,0,4
Estawberg,98,96,54,79,4,21,50,77,1,4
Kejubville,1,91,83,102,22,30,42,78,1,3
Lasppolis,70,18,13,29,27,37,7,85,1,3
Osmam City,33,42,59,84,5,16,22,73,0,0
Achatown,86,25,76,101,2,15,39,45,1,0
Sophecberg,22,21,53,84,3,12,20,56,1,2
Wunepville,33,43,6,11,3,14,45,100,1,0
Houjpolis,36,51,60,79,8,21,37,88,0,4
Feastpolis,98,91,47,77,1,19,9,70,1,4
Riephpolis,86,92,7,21,12,17,30,40,0,3
Poawunville,35,68,33,39,1,15,17,95,1,1
Batirville,14,99,64,78,3,17,45,88,0,1
Achupolis,93,46,62,87,11,26,35,73,1,1
Equoberg,66,39,16,41,22,38,54,84,1,3
Aghisberg,75,38,11,13,22,32,47,84,1,1
Pediw City,39,17,46,57,16,40,37,39,0,2
Phesmtown,4,23,49,63,12,27,46,90,1,3
Gheebtown,67,13,43,65,8,20,34,96,1,0
Spaghberg,40,23,64,90,25,44,13,97,1,0
Uspid City,97,26,23,27,24,33,32,63,0,3
Spuqutown,42,24,77,104,27,49,46,81,0,2
Quoag City,77,33,73,99,30,41,5,50,1,4
Feabville,70,82,60,90,1,26,12,41,0,3
Daphpolis,92,45,51,62,7,16,40,90,1,1
Echiberg,16,7,70,81,4,6,43,70,0,4
Tiejidpolis,32,95,2,30,9,27,2,81,1,3
Spismtown,99,83,6,34,30,50,45,73,0,0
Noijatpolis,21,88,60,78,24,34,44,92,0,1
Roaberg,86,43,30,40,26,30,3,31,1,1
Chooville,58,76,43,52,12,15,10,62,0,0
Borobpolis,18,70,67,83,4,16,8,32,0,0
Phusp City,42,20,52,82,16,29,31,92,0,3
Stoubville,53,43,37,71,28,36,40,54,1,3
Ostapolis,13,23,84,107,24,26,6,43,1,3
Yoiville,33,4,42,77,22,37,31,65,0,2
Pouf City,21,49,30,32,16,38,14,39,0,0
Shootown,63,25,29,44,20,41,14,21,1,1
Woadaftown,75,86,18,22,20,43,20,100,0,0
Daph City,20,22,84,88,25,45,30,54,1,2
Wiquoc City,9,2,72,92,27,32,32,52,1,1
Estuh City,9,77,41,44,27,35,37,87,1,3
Toijactown,36,70,31,42,26,51,16,31,1,3
Ughac City,99,29,62,67,17,27,15,42,0,0
Stoaberg,24,14,64,93,12,14,14,84,0,0
Aste City,61,26,20,45,24,33,44,96,0,2
Gou City,55,75,38,52,20,27,4,52,1,3
Shoocville,37,46,9,22,0,24,8,49,1,4
Othatown,70,65,42,77,27,44,22,67,0,0
Shestberg,51,39,66,90,15,20,52,92,0,3
Taismtown,24,21,5,12,1,3,24,43,0,3
Yoo City,24,21,69,90,18,26,6,18,1,4
Cooqu City,68,34,45,59,26,42,33,77,0,3
Weepolis,43,38,75,80,18,43,49,67,0,3
Peaville,76,18,46,64,27,36,8,39,1,1
Bothtown,93,77,15,33,6,18,55,81,1,4
Lafus City,64,39,59,65,7,25,21,89,1,1
Bismattown,64,29,79,85,14,26,55,76,0,1
Fushinpolis,87,64,46,61,23,37,18,34,1,1
Spoimberg,5,24,5,25,20,39,17,94,1,3
Deagville,72,82,13,34,10,28,16,89,0,2
Uphupolis,78,86,81,95,20,29,28,90,1,3
Roin City,4,12,37,69,28,47,19,35,1,1
Meeludtown,25,96,2,21,9,16,26,78,1,1
Baluk City,95,1,65,81,26,49,37,56,0,2
Meequ City,24,55,73,81,22,31,1,3,0,1
Pheaberg,48,89,14,44,18,21,39,81,1,2
Phooytown,8,25,44,53,16,32,5,50,0,1
Dierihtown,38,13,11,13,18,40,12,87,0,3
Iphiberg,29,35,50,77,30,50,44,70,0,0
Feeberg,4,50,84,92,5,7,51,62,1,1
Yuquuc City,73,87,46,52,28,33,55,59,1,4
Quismville,87,100,56,80,4,25,41,85,1,4
Shiepolis,96,93,13,29,8,24,40,96,0,3
Thoaktown,87,63,55,69,12,26,55,86,0,3
Phoub City,91,24,69,75,16,36,0,9,1,4
Quooltown,47,6,17,28,14,29,15,53,1,4
Hojukville,29,73,37,40,19,31,24,60,0,2
Pishortown,27,93,39,63,28,46,48,96,0,4
Seakubpolis,2,73,71,106,1,14,45,56,0,2
Saiced City,84,77,30,41,9,26,19,22,0,0
Dashberg,19,80,34,53,13,18,25,77,0,0
Ghightown,45,34,33,45,25,38,27,35,0,2
Cojojberg,88,39,6,38,21,34,14,31,1,4
Astintown,11,75,39,70,19,21,51,86,0,4
Quoatville,53,14,79,96,6,14,9,61,0,1
Fucanville,5,30,14,43,25,49,41,57,0,0
Uphekpolis,2,75,5,36,2,6,27,52,1,1
Toarasville,73,44,49,56,22,43,31,86,1,2
Uthuville,37,74,58,78,1,21,22,94,1,0
Hadarpolis,53,92,23,42,10,21,49,84,1,4
Iquufpolis,67,100,80,85,24,32,15,22,1,3
Couville,69,78,14,24,27,42,36,86,0,2
Waiw City,74,29,10,15,12,15,40,56,1,3
Yieyanberg,35,22,74,103,22,43,39,66,0,2
Doatown,59,95,39,52,23,41,33,42,1,1
Fighpolis,40,58,41,48,0,19,32,83,0,3
Cujagpolis,93,57,53,81,11,18,19,95,1,3
Moinuttown,22,29,82,84,16,27,12,59,1,4
Koirville,56,30,49,66,8,30,21,42,1,2
Uphekpolis,2,55,32,48,30,38,45,65,0,0
Yietown,23,58,85,101,19,27,52,77,0,0
Staip City,18,57,39,60,7,26,28,64,0,4
Weehah City,88,22,59,71,6,12,49,59,1,0
Yeesmberg,17,36,39,70,6,29,51,65,1,3
Jusmah City,60,17,72,100,16,23,29,34,1,4
Jethoptown,21,82,57,91,13,33,19,34,1,3
Sichberg,36,59,27,34,6,16,43,67,0,2
Ephop City,54,0,82,101,26,28,23,95,1,4
Spoas City,68,79,15,40,0,24,29,88,1,0
Wish City,68,6,18,34,22,44,3,69,0,3
Pooville,2,87,85,94,21,35,50,68,0,3
Smai City,47,60,35,66,11,32,16,31,0,3
Boaqupolis,35,98,15,21,0,24,49,64,0,0
Smichpolis,83,3,19,40,3,6,1,37,0,3
Jousberg,61,29,7,21,11,18,53,89,0,1
Toghtown,60,47,39,45,11,35,50,69,0,3
Tieshtown,25,46,28,48,10,34,25,37,0,4
Achuttown,48,67,1,7,12,22,34,71,1,3
Gheelville,26,79,72,96,21,36,10,75,0,1
Napucville,23,2,4,38,3,17,39,57,0,3
Sosmowville,22,80,64,93,27,32,0,68,0,2
Esha City,5,74,85,90,28,36,48,55,0,3
Chout City,36,8,0,31,0,25,8,91,1,1
Baspalberg,0,61,20,27,25,44,10,13,0,1
Stea City,28,90,61,72,10,22,54,64,1,0
Stoigville,12,43,7,15,25,29,6,93,0,4
Goghtown,67,14,31,44,21,34,30,38,0,3
Gietojville,73,58,80,105,12,29,54,57,1,4
Stachville,17,52,65,95,23,25,55,60,0,4
Haph City,49,86,71,76,25,43,10,85,1,1
Aspodville,71,57,16,22,21,29,12,23,1,4
Taig City,47,35,67,85,24,27,9,46,0,2
Istihtown,17,41,47,51,16,31,48,52,1,1
Looburtown,86,27,74,101,16,19,47,82,0,0
Dieyogberg,83,95,4,22,19,29,15,28,0,4
Spephpolis,38,13,38,44,9,12,31,48,0,2
Leesmpolis,95,26,13,42,13,37,54,92,0,0
Gooyberg,72,16,14,16,7,12,7,86,1,1
Spoiberg,43,11,16,48,25,29,31,63,1,1
Ismac City,45,42,7,33,20,23,5,45,1,4
Teac City,78,48,65,100,9,15,35,60,0,0
Foomville,99,27,61,94,19,34,11,16,1,1
Espijberg,83,38,51,60,14,28,10,56,0,1
Yifiwpolis,3,54,85,114,18,33,41,99,1,2
Boul City,87,38,60,68,18,43,3,32,0,0
Shouberg,32,28,68,77,27,44,33,94,0,4
Ciegville,67,17,75,103,16,26,4,11,0,4
Stoaberg,64,33,71,106,27,32,3,18,0,1
Geesm City,0,37,24,37,10,17,28,34,1,4
Osmewtown,84,7,54,75,12,30,12,43,1,0
Weeville,61,49,17,49,22,25,36,80,1,3
Estipolis,37,96,32,36,16,21,26,89,0,4
Smeph City,86,88,62,97,15,25,12,34,1,4
Wishojville,52,1,32,65,9,30,3,70,1,2
Pheetville,82,3,71,98,25,40,6,53,1,1
Coat City,71,15,61,89,20,41,34,94,0,3
Athi City,90,89,16,18,11,21,35,51,1,2
Stogh City,62,46,8,20,7,31,6,80,0,2
Jeepolis,22,48,30,60,21,37,48,93,1,3
Ochik City,31,0,43,52,24,46,37,92,1,0
Hestapberg,80,28,74,104,12,18,13,76,1,4
Quoaville,37,83,42,58,4,15,50,57,1,4
Fouyidpolis,7,18,35,55,15,30,42,79,0,3
Sheepolis,35,8,46,67,19,39,31,51,1,1
Boush City,59,35,56,72,1,22,41,63,1,0
Toul City,90,23,30,59,19,43,32,45,0,1
Bosmalville,60,60,34,41,13,17,54,75,1,1
Gestpolis,30,95,71,93,18,26,3,26,1,1
Yoahewtown,94,36,0,14,18,41,26,36,1,2
Leaspberg,16,35,41,75,30,45,24,66,1,0
Tupugville,73,32,51,77,29,36,41,100,1,4
Yuch City,3,99,33,62,0,15,33,64,0,1
Spastpolis,88,89,5,27,16,25,0,93,1,1
Tisptown,78,52,53,58,15,25,2,62,1,0
Ugha City,14,95,39,59,29,51,0,81,0,0
Hoismville,32,35,35,53,12,29,11,26,0,2
Dountown,3,72,36,52,18,22,19,49,0,2
Phoodville,40,16,2,37,21,33,25,82,0,1
Echuberg,67,68,23,46,1,24,12,39,0,4
Theatown,16,8,22,41,15,37,11,77,0,2
Ghoiberg,76,75,35,38,9,17,27,83,1,0
Ospentown,89,72,13,25,12,19,30,94,1,4
Yoadifville,15,39,78,99,4,13,4,93,0,4
Wipuypolis,5,7,13,40,18,38,29,66,1,1
Ethiberg,67,24,76,108,23,26,22,65,0,2
Fiesohpolis,35,13,68,99,28,41,1,17,1,0
Stoutown,8,88,4,11,21,42,42,95,0,4
Ethopolis,49,13,0,14,7,30,4,15,0,0
Heeberg,78,36,32,67,3,15,25,29,1,4
Ophaville,15,21,0,23,21,36,48,57,0,4
Ushaville,48,56,54,85,15,30,31,56,1,1
Smoutown,55,29,76,108,19,31,37,82,1,2
Westpolis,72,61,74,86,12,37,31,93,0,2
Wismtown,34,96,31,43,25,30,9,79,0,2
Moiwtown,71,3,5,27,19,36,19,47,1,1
Sasperberg,42,81,29,41,16,33,13,69,1,4
Geapolis,100,80,34,63,18,30,24,37,1,4
Joceftown,48,12,51,53,12,28,23,34,0,3
Espobpolis,15,2,78,83,16,27,37,56,0,3
Ushinberg,78,61,79,107,15,27,39,69,1,2
Stieville,19,14,69,84,7,18,9,94,1,2
Ismadpolis,56,8,38,55,23,25,15,92,1,0
Sach City,9,42,34,67,28,45,2,14,1,0
Deepolis,61,61,22,38,7,28,19,83,1,1
Roijberg,79,55,55,74,5,13,41,87,0,1
Peshtown,68,36,55,85,9,24,54,76,1,1
Kuwadville,55,46,9,13,29,52,49,53,0,3
Besh City,50,70,39,64,28,49,10,55,0,0
Geashberg,62,84,19,42,2,23,5,7,1,4
Smoamville,46,91,15,34,11,36,14,62,0,0
Tosm City,66,10,14,41,16,35,47,68,1,1
Paghej City,59,10,51,68,7,21,41,46,0,4
Bochudberg,27,12,33,46,5,22,28,38,0,3
Nitetville,72,26,32,61,18,38,16,49,1,0
Stoan City,72,1,15,25,22,24,43,81,1,3
Joopolis,87,32,4,15,4,26,36,53,1,0
Stout City,73,9,81,90,24,47,45,67,0,0
Jiejtown,14,33,38,41,10,15,8,30,0,1
Soas City,75,65,0,31,27,30,25,45,1,1
Astepolis,44,26,85,118,1,9,33,56,0,2
Smeefpolis,31,76,51,80,18,23,2,14,0,4
Boost City,15,91,68,75,16,31,38,87,0,0
Gokiyville,39,17,52,81,5,25,35,53,0,3
Loamville,65,52,19,45,1,15,47,49,1,4
Thooville,47,12,69,72,15,39,27,37,0,4
Oshewtown,54,89,7,37,6,18,10,54,0,0
Leactown,22,10,5,9,29,47,46,75,1,3
Ishuberg,46,25,57,69,13,29,3,64,0,2
